Country,Happiness_Score_2015,Happiness_Score_2016,Happiness_Score_2017,Happiness_Score_2018,Happiness_Score_2019
Tajikistan,4.786,4.996,5.04099988937378,5.199,5.467
Tunisia,4.739,5.045,4.80499982833862,4.592,4.461
Palestinian Territories,4.715,4.754,4.77500009536743,4.743,4.696
Bangladesh,4.694,4.643,4.60799980163574,4.5,4.456
Iran,4.686,4.813,4.69199991226196,4.707,4.548
Ukraine,4.681,4.324,4.09600019454956,4.103,4.332
Iraq,4.677,4.575,4.49700021743774,4.456,4.437
South Africa,4.642,4.459,4.8289999961853,4.724,4.722
Ghana,4.633,4.276,4.11999988555908,4.657,4.996
Zimbabwe,4.61,4.193,3.875,3.692,3.663
Liberia,4.571,3.622,3.53299999237061,3.495,3.975
India,4.565,4.404,4.31500005722046,4.19,4.015
Haiti,4.518,4.028,3.6029999256134,3.582,3.597
Congo (Kinshasa),4.517,4.272,4.28000020980835,4.245,4.418
Nepal,4.514,4.793,4.96199989318848,4.88,4.913
Ethiopia,4.512,4.508,4.46000003814697,4.35,4.286
Sierra Leone,4.507,4.635,4.70900011062622,4.571,4.374
Mauritania,4.436,4.201,4.29199981689453,4.356,4.49
Kenya,4.419,4.356,4.55299997329712,4.41,4.509
Armenia,4.35,4.36,4.37599992752075,4.321,4.559
Botswana,4.332,3.974,3.76600003242493,3.59,3.488
Myanmar,4.307,4.395,4.54500007629395,4.308,4.36
Georgia,4.297,4.252,4.28599977493286,4.34,4.519
Malawi,4.292,4.156,3.97000002861023,3.587,3.41
Sri Lanka,4.271,4.415,4.44000005722046,4.471,4.366
Cameroon,4.252,4.513,4.69500017166138,4.975,5.044
Bulgaria,4.218,4.217,4.71400022506714,4.933,5.011
Egypt,4.194,4.362,4.7350001335144,4.419,4.166
Yemen,4.077,3.724,3.59299993515015,3.355,3.38
Mali,3.995,4.073,4.19000005722046,4.447,4.39
Congo (Brazzaville),3.989,4.236,4.29099988937378,4.559,4.812
Uganda,3.931,3.739,4.08099985122681,4.161,4.189
Senegal,3.904,4.219,4.53499984741211,4.631,4.681
Gabon,3.896,4.121,4.46500015258789,4.758,4.799
Niger,3.845,3.856,4.02799987792969,4.166,4.628
Cambodia,3.819,3.907,4.16800022125244,4.433,4.7
Tanzania,3.781,3.666,3.34899997711182,3.303,3.231
Madagascar,3.681,3.695,3.64400005340576,3.774,3.933
Chad,3.667,3.763,3.93600010871887,4.301,4.35
Guinea,3.656,3.607,3.50699996948242,3.964,4.534
Ivory Coast,3.655,3.916,4.17999982833862,4.671,4.944
Burkina Faso,3.587,3.739,4.03200006484985,4.424,4.587
Afghanistan,3.575,3.36,3.79399991035461,3.632,3.203
Rwanda,3.465,3.515,3.47099995613098,3.408,3.334
Benin,3.34,3.484,3.65700006484985,4.141,4.883
Syria,3.006,3.069,3.46199989318848,3.462,3.462
Burundi,2.905,2.905,2.90499997138977,2.905,3.775
Togo,2.839,3.303,3.49499988555908,3.999,4.085
